Date;Heure;UTC;Besoin en aFRR hausse exprimé par RTE à la plateforme PICASSO (en MW);Besoin en aFRR baisse exprimé par RTE à la plateforme PICASSO (en MW);Volume d'aFRR à la hausse activé pour la France par la plateforme PICASSO (en MW);Volume d'aFRR à la baisse activé pour la France par la plateforme PICASSO (en MW);Prix Moyen Pondéré d'aFRR activée à la hausse pour la France (en Euros/MWh);Prix Moyen Pondéré d'aFRR activée à la baisse pour la France (en Euros/MWh);Volume d'offres d'aFRR déposées et matchées à la hausse (en MW);Volume d'offres d'aFRR déposées et matchées à la baisse (en MW);Volume d'aFRR à la hausse activé en France par la plateforme (en MW);Volume d'aFRR à la baisse activé en France par la plateforme (en MW);Volume d'offres d'aFRR indisponibles à la hausse (en MW);Volume d'offres d'aFRR indisponibles à la baisse (en MW);Prix moyen Pondéré des offres d'aFRR déposées à la hausse (en Euros/MWh);Prix moyen Pondéré des offres d'aFRR déposées à la baisse (en Euros/MWh)
06/06/2024;21:15:00 - 21:30:00;UTC +02:00;398;0;265;0;23.66;66.10;875;875;265;0;0;0;40.79;26.55
06/06/2024;21:30:00 - 21:45:00;UTC +02:00;116;34;48;5;14.81;45.05;879;879;48;5;0;0;44.71;30.54
06/06/2024;21:45:00 - 22:00:00;UTC +02:00;0;297;0;245;16.11;38.32;879;879;0;245;0;0;45.05;30.88
06/06/2024;22:00:00 - 22:15:00;UTC +02:00;140;67;10;88;15.63;36.45;865;865;10;88;0;0;43.36;28.81
06/06/2024;22:15:00 - 22:30:00;UTC +02:00;0;537;0;479;16.11;23.81;865;865;0;479;0;0;43.18;28.63
06/06/2024;22:30:00 - 22:45:00;UTC +02:00;90;62;11;141;15.89;37.14;909;909;11;141;0;0;44.93;31.65
06/06/2024;22:45:00 - 23:00:00;UTC +02:00;130;89;0;49;11.40;50.74;1064;1064;0;49;0;0;41.37;29.97
06/06/2024;23:00:00 - 23:15:00;UTC +02:00;578;0;175;0;11.97;73.24;1017;1017;175;0;0;0;39.15;27.70
06/06/2024;23:15:00 - 23:30:00;UTC +02:00;18;276;25;171;7.72;36.78;1017;1017;25;171;0;0;39.36;28.45
06/06/2024;23:30:00 - 23:45:00;UTC +02:00;63;107;8;165;11.24;37.55;1022;1022;8;165;0;0;38.92;28.06
06/06/2024;23:45:00 - 00:00:00;UTC +02:00;0;932;0;716;11.97;-2.63;1022;1022;0;716;0;0;39.54;28.69
